text,ratings.overall
"['best', 'luxury', 'hotel', 'find', 'dollar', 'bar', 'little', 'expensive', 'great', 'pour', 'money']",5.0
"['staff', 'helpful', 'friendly', 'negative', 'elevator', 'little', 'slow', 'great', 'location']",5.0
"['fantastic', 'hotel', 'good', 'sized', 'room', 'really', 'helpful', 'staff', 'fantastic', 'location']",5.0
"['alex', 'staff', 'go', 'way', 'make', 'feel', 'welcome', 'hotel', 'great', 'location', 'charming', 'friendly', 'environment']",5.0
"['incredible', 'location', 'comfortable', 'hotel', 'nyc', 'friendly', 'service', 'staff']",4.0
"['perhaps', 'get', 'way', 'luxury', 'nyc', 'suggest', 'spending', 'money', 'elsewhere']",3.0
"['staff', 'terrific', 'helpfull', 'great', 'location', 'comfortable', 'clean', 'room', 'inviting', 'lobby', 'real', 'gem']",4.0
"['come', 'back', 'whenever', 'ny', 'great', '\n', 'lars', ' ', 'sabine', '\n', 'sweden']",5.0
"['service', 'good', 'hotel', 'nice', 'location', 'fine', 'love']",5.0
"['extremely', 'friendly', 'helpful', 'staff', 'disappointed', 'bar', 'nt', 'open', 'full', 'time', 'lovely', 'quiet', 'relaxing', 'place', 'stay']",5.0
"['join', 'many', 'love', 'place', 'roomy', 'tasteful', 'great', 'service', 'fantastic', 'location']",5.0
"['beautiful', 'hotel', 'clean', 'room', 'great', 'shower', 'friendly', 'staff', 'great', 'sauna', 'fitness', 'room', 'centrally', 'located', 'would', 'stay', 'heartbeat']",5.0
"['hotel', 'ideal', 'wanted', 'comfy', 'decent', 'hotel', 'near', 'broadway']",5.0
"['clean', 'small', 'room', 'quiet', 'safe', 'block', 'close', 'everything', 'midtown', 'staff', 'helpful', 'overly', 'helpful']",3.0
"['nice', 'hotel', 'good', 'location', 'staff', 'friendly', 'helpful']",5.0
"['oustanding', 'service', 'wonderful', 'modern', 'room', 'extrmely', 'courteous', 'staff']",5.0
"['staff', 'mediocre', 'rate', 'reserved', 'checked']",1.0
"['enjoyed', 'stay', 'much', 'always', 'guest', 'mind', 'found', 'concierge', 'helpful']",5.0
"['worst', 'hotel', 'ever', 'stayed', 'one', 'clue', 'going', 'room', 'extremely', 'small', 'noisy']",1.0
"['fabulous', 'well', 'located', 'hotel', 'friendly', 'staff', 'especially', 'concierge', 'great', 'help', 'organising', 'theatre', 'visit', 'u']",5.0
"['room', 'nice', 'clean', 'view', 'window', 'could', 'open', 'breakfast', 'nothing', 'special', 'standard']",4.0
"['stayed', 'san', 'carlos', 'hotel', '4', 'day', 'would', 'definately', 'recommend', 'return', 'hotel']",4.0
"['nt', 'think', 'one', 'bad', 'thing', 'say', 'san', 'carlos']",5.0
"['great', 'stay', 'super', 'clean', 'fast', 'elevator', 'small', 'nice', 'free', 'breakfast', 'excellent', 'staff', 'definitely', 'stay', 'one', 'complaint']",5.0
"['exceptional', 'friendly', 'service', 'midtown', 'hotel', '\n', 'cosy', 'quiet', 'clean', 'room', 'comfy', 'bed', 'though', 'tiny', 'bathroom', 'downside']",4.0
"['great', 'location', 'nice', 'two', 'room', 'suite', 'good', 'facility', '\n', 'helpful', 'staff', 'basic', 'continental', 'breakfast']",4.0
"['enyoed', 'stay', 'great', 'location', 'free', 'terminal', 'use', 'internet', 'coffee', 'bagel', 'breakfast', 'great']",4.0
"['hotel', 'bem', 'localizado', 'em', 'new', 'york', 'próximo', 'catedral', 'st', 'patrick', 'metro', 'sack', 'rockfeller', 'center', 'vale', 'pena']",4.0
"['great', 'hotelgreat', 'location', 'good', 'choice', '\n', 'large', 'room', 'comfortable']",5.0
"['great', 'hotel', 'fantastic', 'location', 'highly', 'recommended', '\n', 'thanks']",4.0
"['location', 'attention', 'detail', 'size', 'room', 'cleanliness', 'staff', 'professionalism', 'harrys', 'bar', 'excellent', 'return']",5.0
"['amazing', 'personal', 'service', 'make', 'feel', 'right', 'home']",5.0
"['room', 'large', 'beautifully', 'decorated', 'staff', 'helpful', ' ', 'friendly', 'comfortable', 'bed']",5.0
"['superb', 'place', 'stay', 'nyc', 'gorgeous', 'room', 'friendly', 'helpful', 'staff', 'perfect', 'location', 'totally', 'delightful']",5.0
"['great', 'friendly', 'staff', 'clean', 'room', 'great', 'service', 'also', 'provide', 'shuttle', 'service', 'downtown', 'short', 'ride']",5.0
"['nice', 'room', 'quite', 'large', 'good', 'workspace', 'hilton', 'honor', 'floor', 'nice', ' ', 'friendly', 'staff', 'excellent', 'breakfast', 'buffet']",5.0
"['average', 'hotel', 'business', 'conference', 'friendly', 'good', 'service', 'point', 'charged', '15', 'day', 'per', 'device', 'wifi', 'internet']",4.0
"['comfortable', 'elegant', 'hotel', 'facility', 'least', 'used', 'excellent']",5.0
"['travel', 'houston', 'work', 'midtown', 'often', 'good', 'location', 'good', 'quality', 'hotel']",4.0
"['great', 'location', 'great', 'service', 'clean', 'room', 'love', 'hotel']",5.0
"['great', 'hotel', 'good', 'location', 'downtown', 'houston', 'however', 'nothing']",4.0
"['really', 'nice', 'hotel', 'reasonable', 'price', 'terrific', 'hotel', 'staff', 'purpose', 'location', 'excellent', 'complaint']",4.0
"['clean', 'room', 'great', 'breakfast', '\n', 'friendly', 'attentive', 'reception', 'desk', 'especially', 'brandi']",4.0
"['every', 'thing', 'worked', 'expected', 'type', 'property', 'pricing', 'good', 'breakfast', 'reasonable', 'price', 'nice', 'staff', 'member']",5.0
"['clean', 'comfortable', 'great', 'price', '   ', 'stay', 'sure']",5.0
"['stay', 'frequently', 'business', 'staff', 'go', 'way', 'make', 'sure', 'well', 'looked', 'home', 'away', 'home']",5.0
"['nice', 'property', 'staff', 'professional', 'room', 'spacy']",5.0
"['5star', 'hotel', 'service', 'topnotch', 'staff', 'always', 'helpful']",4.0
"['great', 'location', 'great', 'bed', 'decor', 'little', 'dated', 'staff', 'top', 'notch', 'pretty', 'much', 'know', 'going', 'get', 'four', 'season']",4.0
"['hotel', 'beautiful', 'luxurious', 'staff', 'great', 'great', 'personal', 'service']",5.0
"['great', 'time', 'room', 'erfect', 'car', 'service', 'outstanding']",5.0
"['amazing', 'staff', 'definitively', 'professional', 'courteous', 'wonderful', 'weekend', 'stay']",5.0
"['always', 'enjoy', 'stay', 'four', 'season', 'location', 'ideal', 'international', 'quilt', 'show', 'staff', 'always', 'friendly', 'helpful']",5.0
"['hotel', 'offer', 'top', 'class', 'service', 'accomodations']",5.0
"['suite', 'great', 'staff', 'service', 'exceptional']",5.0
"['within', 'walking', 'distance', 'minute', 'maid', 'stadium', 'however', 'also', 'courtesy', 'car', 'available', 'taxi', 'ride', 'reasonable']",5.0
"['ultimate', 'customer', 'service', 'luxury', 'business', 'pleasure', 'easy', 'access', 'downtown', 'business', 'recreational', 'site', 'needed']",5.0
"['exceptional', 'guest', 'focus', 'staff', 'customer', 'focus', 'spot', 'friendliness', 'beyond', 'houston']",5.0
"['great', 'service', 'awesome', 'pool', 'highly', 'recommend', 'weekend', 'getaway']",5.0
"['handy', 'city', 'centre', 'tram', 'system', 'stop', 'outside', 'parking', 'next', 'door']",4.0
"['stayed', 'one', 'night', 'wish', 'great', 'hotel', 'lare', 'room', 'great', 'bathroom', 'fantastic', 'lobby', 'bar', 'would', 'stay']",5.0
"['one', 'best', 'hotel', 'stayed', 'beautiful', 'building', 'great', 'room', 'great', 'bathroom', 'helpful', 'staff', 'fantastic', 'location', 'downtown']",5.0
"['second', 'stay', 'hotelgreat', 'roomcomfortable', 'bedsuper', 'bath', 'service', 'great', 'upscale', 'accomodations']",5.0
"['hotel', 'icon', 'great', 'place', 'stay', 'houston', 'looking', 'experience', 'live', 'time', 'hotel', 'icon']",5.0
"['hotel', 'renovated', 'building', 'beautiful', 'visit', 'staff', 'wonderful', 'moment', 'arrived', 'left']",5.0
"['good', 'loation', 'nice', 'area', 'easy', 'walk', 'area', 'eating', 'shopping', '\n', 'clean', '\n', 'comfortable']",5.0
"['lot', 'walk', 'many', 'thing', ' ', 'shopping', 'good', 'restaurant', 'within', 'striking', 'distance', 'great', 'room']",4.0
"['loved', 'hotel', 'nice', 'room', 'great', 'food', 'bistro', 'alex', 'great', 'band', 'monnalisa', 'bar', 'upscale', 'trendy', 'atmosphere']",5.0
"['love', 'hotel', 'friendliness', 'staff', 'helpful', 'pleasant']",5.0
"['bed', 'amazing', 'comfortable', '\n', 'hotel', 'highclass', 'would', 'recommend', 'friend', 'colleague']",5.0
"['central', 'location', 'exception', 'food', 'site', 'also', 'beautiful', 'pool', 'nightlife']",4.0
"['enjoyed', 'stay', 'great', 'hotel', 'romantic', 'getaway', 'would', 'definately', 'recommend', 'hotel', 'sorella', 'visiting', 'city', 'centre']",5.0
"['hotel', 'decorated', 'classically', 'love', 'wooden', 'feel', 'room', 'hilton', 'comfortable']",5.0
"['front', 'desk', 'staff', 'exceptionally', 'rude', 'even', 'forgot', 'make', 'ordered', 'wakeup', 'call', 'room', 'ok']",2.0
"['love', 'new', 'westin', 'great', 'staff', 'nice', 'il', 'mulino', 'bistro']",4.0
"['45', 'min', 'wait', 'burger', 'bar', 'really', 'busy', '\n', 'bed', 'looked', 'like', 'slept', '\n', 'phone', 'book', 'room']",4.0
"['clean', 'nice', 'linen', 'super', 'staffmanager', 'jose', 'miranda', 'interacted', 'guest', 'evening', 'secured', 'parking', 'nice', 'back']",5.0
"['great', 'hotel', 'stay', 'galleria', 'area', 'houston', 'pricey', 'even', 'fairly', 'close', 'medical', 'district']",4.0
"['rita', 'awesome', ' ', 'whole', 'staff', 'really', 'great', 'helpful']",4.0
"['experience', 'excellent', 'ask', 'maddie', 'helpful', 'also', 'informative', 'event', 'family', 'kid']",5.0
"['staff', 'freindlythe', 'service', 'received', 'outsanding', 'requirement', '\n', 'meet', 'transportions', 'need', 'meet']",4.0
"['aurelia', 'gaskin', 'front', 'office', 'supervisor', 'huge', 'help', 'take', 'great', 'care', 'guest']",4.0
"['want', 'mention', 'outstanding', 'manager', 'aurelia', 'gaskin', 'friendly', 'helpful', 'coworkers']",4.0
"['stayed', 'night', 'nice', 'clean', 'room', 'nice', 'bed', 'thing', 'let', 'noisy', 'air', 'con', 'coming', 'would', 'stay']",4.0
"['front', 'desk', 'maddie', 'rita', 'make', 'u', 'feel', 'welcome', 'happy', 'see', 'u', 'mean', 'lot', 'u', 'jason', 'bartender', 'greatest']",5.0
"['excellent', 'service', 'girl', 'front', 'desk', 'especially', 'miss', 'rita', '\n', 'service', 'like', 'make', 'away', 'bearable']",4.0
"['love', 'happy', 'hour', 'free', 'contbreakfast', 'great', 'service', 'nice', 'come', 'back', 'toplace', 'staff', 'remembers']",4.0
"['manager', 'helpful', 'making', 'sure', 'everything', 'ready', 'made', 'stay', 'enjoyable', 'would', 'highly', 'recommend', 'hotel']",4.0
"['would', 'gladly', 'stay', 'nice', 'staff', 'good', 'overall', 'experience']",4.0
"['stay', 'couple', 'night', 'super', 'clean', 'friendly', 'helpful', 'staffzero', 'noise', 'overall', 'pleasant', 'stay']",4.0
"['would', 'like', 'thank', 'shana', 'angela', 'helpful', 'friendly', 'help', 'make', 'pleasant', 'hotel', 'experience', 'thanks']",5.0
"['outstanding', 'friendly', 'service', 'staff', 'attentive', 'room', 'extermely', 'comfortable', 'meal', 'resturant', 'delicious']",5.0
"['awesome', 'hotel', 'pool', 'outdoor', 'lounge', 'workout', 'facility']",5.0
"['wow', 'great', 'surprisingly', 'quite', 'ellegent', 'location', 'loved', 'room', 'service', 'valet', 'parking', 'front', 'desk', 'great', 'gorgeous', 'poolwow']",5.0
"['4', 'star', 'hotel', 'problem', 'service', 'gave', 'occupied', 'room', 'made', 'wait', 'half', 'hour', 'five', 'another', 'room']",4.0
"['nice', 'comfortable', 'room', 'great', 'quiet', 'location', 'close', 'galleria', '5', 'minute', 'drive', 'complimentary', 'car', 'transfer']",4.0
"['moment', 'arrived', 'attention', 'superior', 'customer', 'service', 'noticeable']",4.0
"['elegant', 'lovely', 'room', 'truly', 'enjoyed', 'tremendous', 'hotel', 'please', 'nt', 'go', 'wanna', 'keep', 'secret', 'dam', 'self']",5.0
"['good', 'hotel', 'good', 'location', 'good', 'amenity', 'breakfast', 'great', 'bed', 'staff', 'friendly', 'enjoyed', 'hotel']",4.0
"['place', 'new', 'complaint', 'room', 'etc', '\n', 'service', 'hotel', 'staff', 'outstanding', '\n', 'enjoyable', 'stay']",5.0
"['careful', 'looking', 'hotel', 'sage', 'sign', 'nt', 'real', 'obvious', 'drive', 'facilty', 'easy', 'access']",5.0
"['hotel', 'well', 'suited', 'business', 'travel', 'close', 'galleria', 'business', 'west', 'side', 'houston']",4.0
"['excellent', 'hotel', 'clean', 'room', 'staff', 'amazing', 'far', 'galleria', 'mall']",5.0
"['staff', 'courtyard', 'friendly', 'helpful', 'great', 'location', 'galleria', ' ', 'within', 'walking', 'distance', 'many', 'resturants']",5.0
"['place', 'nice', 'great', 'location', 'spacious', 'would', 'definitely', 'stay']",5.0
"['son', 'stay', 'almost', 'everytime', 'come', 'houston', 'go', 'shriners', 'hospital', 'always', 'clean', 'room', 'great', 'friendly', 'staff']",5.0
"['clean', 'room', 'good', 'location', 'friendly', 'people', 'lot', 'smile']",5.0
"['bed', 'extremely', 'firm', 'uncomfortable', 'location', 'md', 'anderson', 'good', 'bed', 'make', 'deal', 'breaker', 'probably', 'wo', 'nt', 'stay']",3.0
"['room', 'little', 'small', 'clean', 'without', 'smelling', 'like', 'cleaner', 'bed', 'nice', 'staff', 'friendly']",4.0
"['limited', 'selection', 'breakfast', 'poor', 'lighting', 'night', 'everything', 'else', 'excellent']",5.0
"['convient', 'shopping', 'food', 'medical', 'center']",5.0
"['friendly', 'great', 'serviceexcellent', 'front', 'desk', 'serviceknowledgable', 'staff']",4.0
"['room', 'nice', 'clean', 'would', 'stay']",5.0
"['houston', 'business', ' ', 'stayed', '2', 'week', '\n', 'food', 'good', 'bar', 'great', 'nice', 'stay']",5.0
"['good', 'medium', 'standard', 'business', 'hotel', 'staff', 'friendly', 'helpful', 'room', 'public', 'area', 'slightly', 'dated', 'limited', 'choice', 'inhouse', 'fooddrink']",3.0
"['great', 'hotel', 'good', 'gym', 'facility', 'good', 'staff', 'food', 'ok']",4.0
"['pool', 'awesome', 'insideoutside', 'pool', 'kid', 'absolutely', 'loved', 'want', 'leave', 'pool', 'anything']",4.0
"['great', 'staywill', 'definitely', 'stay', 'recommend', 'others', 'thanks']",5.0
"['good', 'location', 'close', 'downtown', 'hotspot', 'staff', 'excellent']",5.0
"['think', 'met', 'every', 'employee', 'place', 'hiding', 'hotel', 'loved', 'new', 'houston', 'home']",5.0
"['got', 'great', 'deal', 'hotwire', 'two', 'bedded', 'room', 'food', 'needed', 'everything', 'great', 'would', 'reccomend', 'place', 'everyone']",5.0
"['awesome', 'hotel', 'lady', 'weekend', 'getawaymust', 'stay', 'againservice', 'amazing', 'easy', 'access', 'downtown']",5.0
"['exceeded', 'expectation', 'felt', 'welcomed', 'service', 'great', 'definately', 'stay']",5.0
"['ball', 'staff', 'great', 'food', 'great', 'ca', 'nt', 'wait', 'go', 'back']",5.0
"['clean', 'room', 'good', 'service', 'great', 'hotel', 'thanks', 'great', 'stay']",5.0
"['girl', 'trip', 'good', 'time', 'nice', 'car', 'driver', 'take', 'u', 'needed', 'go', 'downtown']",4.0
"['hotel', 'great', 'second', 'stay', 'alden', 'hotel', 'enjoyed', 'like', 'last', 'new', 'home', 'houston']",4.0
